county,county_code,eligible_voters,total_votes,Biedron,Bosak,Duda,Holownia,Jakubiak,Kosiniak-Kamysz,Piotrowski,Tanajno,Trzaskowski,Witkowski,Zoltek
mielecki,181100.0,106436.0,68237.0,931.0,5666.0,41803.0,6229.0,130.0,2079.0,86.0,81.0,11012.0,55.0,165.0
niżański,181200.0,53254.0,30997.0,366.0,3056.0,20628.0,2329.0,64.0,702.0,44.0,29.0,3685.0,31.0,63.0
przemyski,181300.0,59198.0,35248.0,348.0,2812.0,23240.0,3036.0,43.0,1000.0,44.0,34.0,4609.0,23.0,59.0
przeworski,181400.0,62898.0,39558.0,388.0,3314.0,26607.0,2879.0,60.0,1522.0,34.0,26.0,4645.0,23.0,60.0
ropczycko-sędziszowski,181500.0,58346.0,38984.0,368.0,3589.0,27138.0,2895.0,72.0,1016.0,49.0,34.0,3733.0,30.0,60.0
rzeszowski,181600.0,132442.0,90332.0,943.0,9198.0,57559.0,8739.0,182.0,2198.0,96.0,115.0,11016.0,70.0,216.0
sanocki,181700.0,74624.0,44276.0,826.0,3333.0,25183.0,4924.0,84.0,1216.0,49.0,47.0,8477.0,34.0,103.0
stalowowolski,181800.0,82686.0,49871.0,752.0,4960.0,28791.0,4378.0,79.0,918.0,56.0,60.0,9716.0,35.0,126.0
strzyżowski,181900.0,49057.0,30729.0,318.0,3046.0,20355.0,2894.0,64.0,739.0,35.0,40.0,3161.0,22.0,55.0
tarnobrzeski,182000.0,42749.0,25868.0,327.0,2147.0,16345.0,2340.0,28.0,752.0,20.0,33.0,3765.0,24.0,87.0
leski,182100.0,24686.0,15601.0,276.0,1149.0,8269.0,1815.0,34.0,442.0,11.0,15.0,3543.0,13.0,34.0
Krosno,186100.0,36602.0,23835.0,775.0,1971.0,11102.0,2681.0,53.0,518.0,29.0,24.0,6602.0,30.0,50.0
Przemyśl,186200.0,47555.0,28083.0,514.0,2040.0,13261.0,3245.0,47.0,582.0,31.0,39.0,8240.0,33.0,51.0
Rzeszów,186300.0,151140.0,103637.0,2345.0,10381.0,41906.0,15677.0,276.0,2555.0,140.0,160.0,29713.0,134.0,350.0
Tarnobrzeg,186400.0,36713.0,22973.0,489.0,1774.0,10126.0,2714.0,38.0,552.0,24.0,27.0,7136.0,31.0,62.0
augustowski,200100.0,46661.0,26505.0,403.0,1835.0,13981.0,3566.0,46.0,694.0,32.0,33.0,5822.0,22.0,71.0
białostocki,200200.0,117980.0,74477.0,956.0,5969.0,37644.0,13667.0,165.0,1254.0,77.0,105.0,14406.0,48.0,186.0
bielski,200300.0,44517.0,25504.0,415.0,1395.0,13130.0,5286.0,36.0,518.0,31.0,20.0,4615.0,18.0,40.0
grajewski,200400.0,37232.0,20173.0,212.0,1496.0,12117.0,2320.0,30.0,617.0,17.0,32.0,3289.0,11.0,32.0
hajnowski,200500.0,36325.0,19820.0,604.0,1215.0,6177.0,5773.0,30.0,452.0,29.0,21.0,5456.0,17.0,46.0
kolneński,200600.0,30364.0,16733.0,161.0,1345.0,11446.0,1357.0,19.0,549.0,18.0,11.0,1787.0,12.0,28.0
łomżyński,200700.0,40716.0,23463.0,182.0,1857.0,16087.0,2107.0,50.0,562.0,19.0,20.0,2521.0,12.0,46.0
moniecki,200800.0,32664.0,17357.0,174.0,1304.0,10851.0,2199.0,30.0,455.0,10.0,26.0,2268.0,8.0,32.0
sejneński,200900.0,16847.0,8765.0,156.0,565.0,3965.0,1328.0,21.0,321.0,14.0,16.0,2348.0,14.0,17.0
siemiatycki,201000.0,36379.0,19762.0,325.0,1514.0,10692.0,2652.0,39.0,690.0,33.0,27.0,3721.0,26.0,43.0
sokólski,201100.0,53920.0,29468.0,326.0,2311.0,17061.0,4206.0,38.0,691.0,21.0,23.0,4698.0,23.0,70.0
suwalski,201200.0,29087.0,16660.0,256.0,1292.0,9225.0,2178.0,27.0,507.0,19.0,40.0,3063.0,14.0,39.0
wysokomazowiecki,201300.0,45561.0,28900.0,249.0,1953.0,20605.0,2361.0,43.0,780.0,31.0,22.0,2781.0,16.0,59.0
zambrowski,201400.0,34813.0,20710.0,206.0,1509.0,13079.0,1988.0,25.0,553.0,25.0,24.0,3247.0,14.0,40.0
Białystok,206100.0,218318.0,146113.0,3117.0,12302.0,55948.0,32712.0,307.0,1982.0,160.0,240.0,38727.0,199.0,419.0
Łomża,206200.0,46436.0,27872.0,410.0,2241.0,14235.0,3685.0,64.0,506.0,35.0,34.0,6583.0,30.0,49.0
Suwałki,206300.0,52507.0,31435.0,594.0,2720.0,13870.0,4703.0,54.0,550.0,31.0,53.0,8744.0,34.0,82.0
bytowski,220100.0,60497.0,35123.0,839.0,2273.0,15375.0,5232.0,46.0,791.0,23.0,42.0,10412.0,27.0,63.0
chojnicki,220200.0,73910.0,45860.0,851.0,2909.0,20959.0,6972.0,55.0,951.0,54.0,58.0,12926.0,34.0,91.0
człuchowski,220300.0,44168.0,24528.0,553.0,1449.0,9596.0,3898.0,34.0,657.0,28.0,39.0,8199.0,31.0,44.0
gdański,220400.0,86663.0,56879.0,1227.0,3911.0,16617.0,10189.0,106.0,1107.0,63.0,101.0,23368.0,67.0,123.0
kartuski,220500.0,101600.0,68425.0,1041.0,4302.0,30442.0,12408.0,97.0,1294.0,79.0,86.0,18479.0,72.0,125.0
kościerski,220600.0,55655.0,35881.0,582.0,2157.0,16571.0,6477.0,32.0,795.0,34.0,38.0,9087.0,30.0,78.0
kwidzyński,220700.0,62014.0,35275.0,854.0,2391.0,14296.0,4934.0,57.0,736.0,32.0,53.0,11808.0,46.0,68.0
lęborski,220800.0,50713.0,31911.0,889.0,2069.0,11256.0,5159.0,51.0,595.0,33.0,32.0,11736.0,31.0,60.0
malborski,220900.0,48187.0,27700.0,649.0,1628.0,9348.0,4820.0,31.0,593.0,22.0,32.0,10493.0,27.0,57.0
nowodworski,221000.0,31410.0,19346.0,462.0,1100.0,6564.0,3027.0,33.0,482.0,19.0,21.0,7580.0,29.0,29.0
pucki,221100.0,81231.0,58256.0,1300.0,3419.0,18943.0,10914.0,93.0,1107.0,40.0,83.0,22174.0,73.0,110.0
słupski,221200.0,77312.0,44205.0,1556.0,2319.0,16131.0,6005.0,61.0,1170.0,40.0,85.0,16727.0,50.0,61.0
starogardzki,221300.0,96166.0,57386.0,1069.0,3435.0,27377.0,8698.0,90.0,1429.0,72.0,89.0,14958.0,56.0,113.0
tczewski,221400.0,85712.0,51322.0,1029.0,3659.0,20737.0,8565.0,71.0,1095.0,39.0,71.0,15854.0,64.0,138.0
wejherowski,221500.0,159724.0,105911.0,2425.0,7712.0,37862.0,18298.0,178.0,1919.0,137.0,162.0,36858.0,131.0,229.0
sztumski,221600.0,32613.0,17063.0,454.0,820.0,7112.0,2642.0,22.0,427.0,16.0,20.0,5499.0,17.0,34.0
Gdańsk,226100.0,363842.0,259586.0,7998.0,15805.0,65172.0,41939.0,374.0,4040.0,284.0,461.0,122183.0,533.0,797.0
Gdynia,226200.0,187271.0,134721.0,4150.0,8133.0,33709.0,20951.0,171.0,1997.0,137.0,239.0,64632.0,247.0,355.0
Słupsk,226300.0,68033.0,42802.0,1603.0,2424.0,13943.0,5261.0,65.0,883.0,37.0,45.0,18403.0,59.0,79.0
Sopot,226400.0,29701.0,22012.0,624.0,1063.0,5159.0,3001.0,35.0,332.0,21.0,38.0,11630.0,47.0,62.0
Statki - Gdańsk,229901.0,379.0,369.0,15.0,72.0,50.0,65.0,6.0,17.0,0.0,1.0,140.0,1.0,2.0
będziński,240100.0,116986.0,75877.0,2322.0,4623.0,26845.0,11439.0,117.0,1560.0,78.0,100.0,28485.0,110.0,198.0
bielski,240200.0,127736.0,89181.0,1631.0,6822.0,38535.0,14269.0,136.0,1808.0,116.0,123.0,25482.0,97.0,162.0
cieszyński,240300.0,139013.0,91559.0,1958.0,6866.0,36439.0,17559.0,143.0,1828.0,113.0,140.0,26198.0,99.0,216.0
częstochowski,240400.0,109190.0,70365.0,1338.0,4475.0,35276.0,9868.0,94.0,2032.0,75.0,85.0,16882.0,82.0,158.0
gliwicki,240500.0,88063.0,53767.0,958.0,4133.0,22660.0,9542.0,88.0,1052.0,66.0,83.0,15000.0,69.0,116.0
kłobucki,240600.0,68569.0,43398.0,784.0,2697.0,21501.0,6486.0,72.0,1645.0,38.0,73.0,9940.0,39.0,123.0
lubliniecki,240700.0,61206.0,36018.0,609.0,2283.0,17102.0,6179.0,65.0,753.0,54.0,74.0,8774.0,39.0,86.0
mikołowski,240800.0,74708.0,50580.0,911.0,3820.0,20394.0,8658.0,115.0,921.0,54.0,126.0,15387.0,68.0,126.0
myszkowski,240900.0,57052.0,35963.0,743.0,2337.0,17739.0,4963.0,48.0,862.0,31.0,57.0,9067.0,38.0,78.0
pszczyński,241000.0,83774.0,57788.0,990.0,4666.0,29063.0,8336.0,124.0,1214.0,74.0,82.0,13026.0,57.0,156.0
raciborski,241100.0,82838.0,45303.0,846.0,3509.0,19108.0,7802.0,72.0,846.0,63.0,56.0,12841.0,54.0,106.0
rybnicki,241200.0,59491.0,37979.0,517.0,3193.0,19477.0,5398.0,46.0,609.0,43.0,65.0,8512.0,38.0,81.0
tarnogórski,241300.0,109016.0,69657.0,1295.0,4503.0,28537.0,11656.0,127.0,1302.0,88.0,103.0,21790.0,86.0,170.0
bieruńsko-lędziński,241400.0,45665.0,30742.0,529.0,2481.0,16190.0,4112.0,61.0,526.0,43.0,59.0,6626.0,34.0,81.0
wodzisławski,241500.0,119895.0,75814.0,1120.0,6699.0,37022.0,10689.0,129.0,1317.0,86.0,106.0,18414.0,90.0,142.0
zawierciański,241600.0,95306.0,60796.0,1308.0,3870.0,29087.0,7742.0,88.0,1651.0,34.0,109.0,16684.0,68.0,155.0
żywiecki,241700.0,121023.0,80669.0,1258.0,6077.0,44818.0,9231.0,159.0,1417.0,87.0,104.0,17273.0,67.0,178.0
Bielsko-Biała,246100.0,129895.0,89426.0,2015.0,6049.0,33075.0,14208.0,164.0,1431.0,116.0,140.0,31893.0,137.0,198.0
Bytom,246200.0,116784.0,67174.0,1822.0,4603.0,25749.0,10942.0,103.0,1251.0,77.0,111.0,22239.0,111.0,166.0
Chorzów,246300.0,78477.0,47555.0,1358.0,3364.0,15629.0,7972.0,40.0,803.0,60.0,93.0,18011.0,82.0,143.0
Częstochowa,246400.0,170655.0,113226.0,2970.0,6800.0,42963.0,16021.0,185.0,2057.0,118.0,177.0,41522.0,158.0,255.0
Dąbrowa Górnicza,246500.0,92329.0,59880.0,1876.0,3593.0,21068.0,9084.0,90.0,1087.0,54.0,74.0,22686.0,118.0,150.0
Gliwice,246600.0,134493.0,88856.0,2169.0,6634.0,28425.0,14415.0,147.0,1645.0,100.0,145.0,34795.0,151.0,230.0
Jastrzębie-Zdrój,246700.0,67082.0,41760.0,846.0,3502.0,21181.0,5525.0,75.0,600.0,38.0,54.0,9782.0,49.0,108.0
Jaworzno,246800.0,70175.0,44403.0,1166.0,3639.0,17364.0,6843.0,67.0,837.0,29.0,52.0,14254.0,52.0,100.0
Katowice,246900.0,222973.0,150043.0,4493.0,9370.0,48486.0,22649.0,236.0,2815.0,165.0,266.0,60860.0,277.0,426.0
Mysłowice,247000.0,55472.0,35873.0,1004.0,2485.0,14999.0,5320.0,67.0,627.0,31.0,68.0,11137.0,41.0,94.0
Piekary Śląskie,247100.0,41937.0,26163.0,553.0,1588.0,11924.0,4129.0,28.0,402.0,31.0,36.0,7371.0,34.0,67.0
Ruda Śląska,247200.0,103534.0,63048.0,1464.0,4694.0,26652.0,10781.0,104.0,1058.0,70.0,91.0,17867.0,110.0,157.0
Rybnik,247300.0,103615.0,66634.0,1131.0,5472.0,28912.0,9766.0,110.0,1070.0,90.0,137.0,19707.0,72.0,167.0
Siemianowice Śląskie,247400.0,49940.0,32145.0,897.0,2257.0,11146.0,5494.0,48.0,580.0,29.0,56.0,11500.0,58.0,80.0
Sosnowiec,247500.0,155198.0,99252.0,3172.0,6040.0,34564.0,14087.0,129.0,1722.0,87.0,147.0,38883.0,201.0,220.0
Świętochłowice,247600.0,36685.0,21196.0,544.0,1497.0,8304.0,3494.0,25.0,347.0,22.0,45.0,6834.0,33.0,51.0
Tychy,247700.0,95529.0,65322.0,1634.0,4782.0,24926.0,10238.0,133.0,1171.0,67.0,111.0,21985.0,90.0,185.0
Zabrze,247800.0,125352.0,68867.0,1997.0,5113.0,25258.0,11162.0,93.0,1298.0,74.0,149.0,23430.0,111.0,182.0
Żory,247900.0,46008.0,29919.0,577.0,2474.0,13003.0,5110.0,37.0,481.0,28.0,38.0,8056.0,27.0,88.0
buski,260100.0,58960.0,35356.0,515.0,2011.0,21533.0,3185.0,60.0,1512.0,21.0,32.0,6410.0,19.0,58.0
jędrzejowski,260200.0,69195.0,42575.0,567.0,2617.0,27279.0,3657.0,55.0,1546.0,36.0,25.0,6699.0,35.0,59.0
kazimierski,260300.0,27945.0,14939.0,189.0,826.0,9511.0,1140.0,7.0,944.0,10.0,10.0,2274.0,8.0,20.0
kielecki,260400.0,168192.0,107984.0,1464.0,8893.0,66262.0,10607.0,207.0,2935.0,135.0,127.0,17034.0,71.0,249.0
konecki,260500.0,65677.0,40559.0,850.0,2637.0,24468.0,3713.0,65.0,1195.0,48.0,45.0,7432.0,36.0,70.0
opatowski,260600.0,42751.0,24788.0,395.0,1347.0,16296.0,2015.0,34.0,1215.0,26.0,37.0,3347.0,15.0,61.0
ostrowiecki,260700.0,86476.0,49982.0,1126.0,3142.0,25530.0,5667.0,74.0,1163.0,47.0,70.0,12996.0,69.0,98.0
pińczowski,260800.0,33167.0,19151.0,288.0,1128.0,11810.0,1592.0,30.0,783.0,12.0,6.0,3444.0,19.0,39.0
sandomierski,260900.0,63188.0,37612.0,628.0,2627.0,20900.0,3454.0,59.0,2392.0,38.0,40.0,7373.0,29.0,72.0
skarżyski,261000.0,59676.0,37193.0,735.0,2668.0,18180.0,4386.0,64.0,735.0,47.0,40.0,10206.0,39.0,93.0
starachowicki,261100.0,71283.0,43498.0,766.0,3317.0,22983.0,5181.0,81.0,861.0,42.0,52.0,10116.0,35.0,64.0
staszowski,261200.0,58660.0,35287.0,519.0,2159.0,23173.0,3049.0,58.0,1140.0,36.0,18.0,5059.0,23.0,53.0
włoszczowski,261300.0,36881.0,23134.0,394.0,1693.0,14814.0,1995.0,41.0,954.0,21.0,23.0,3133.0,20.0,46.0
Kielce,266100.0,149357.0,101582.0,2292.0,7479.0,41013.0,12742.0,183.0,2119.0,95.0,143.0,35147.0,137.0,232.0
bartoszycki,280100.0,46017.0,23790.0,432.0,1438.0,10230.0,3400.0,31.0,551.0,18.0,39.0,7573.0,26.0,52.0
braniewski,280200.0,32780.0,16634.0,319.0,977.0,6912.0,2836.0,13.0,480.0,16.0,26.0,5006.0,19.0,30.0
działdowski,280300.0,51149.0,28878.0,493.0,1611.0,14372.0,4628.0,45.0,792.0,20.0,30.0,6817.0,24.0,46.0
elbląski,280400.0,44528.0,22949.0,388.0,1381.0,9901.0,3470.0,39.0,676.0,16.0,19.0,6994.0,23.0,42.0
ełcki,280500.0,68161.0,35770.0,694.0,3035.0,14924.0,5520.0,65.0,803.0,51.0,64.0,10482.0,35.0,97.0
giżycki,280600.0,47507.0,27428.0,529.0,1664.0,9550.0,4276.0,47.0,723.0,34.0,45.0,10467.0,36.0,57.0
iławski,280700.0,72130.0,41810.0,883.0,3056.0,19178.0,5495.0,80.0,1043.0,40.0,67.0,11835.0,57.0,76.0
kętrzyński,280800.0,49381.0,25641.0,600.0,1551.0,10401.0,3813.0,39.0,730.0,28.0,41.0,8371.0,23.0,44.0
lidzbarski,280900.0,32181.0,17170.0,354.0,1146.0,6953.0,2247.0,24.0,463.0,17.0,19.0,5898.0,23.0,26.0
mrągowski,281000.0,41025.0,23613.0,466.0,1628.0,8807.0,3823.0,37.0,575.0,14.0,41.0,8160.0,25.0,37.0
nidzicki,281100.0,25649.0,13967.0,235.0,931.0,7010.0,1657.0,27.0,346.0,11.0,12.0,3700.0,13.0,25.0
nowomiejski,281200.0,33886.0,19482.0,296.0,1126.0,10683.0,2297.0,28.0,801.0,31.0,24.0,4134.0,19.0,43.0
olecki,281300.0,25984.0,13360.0,232.0,951.0,6246.0,2044.0,22.0,318.0,11.0,25.0,3478.0,8.0,25.0
olsztyński,281400.0,100609.0,58286.0,1390.0,4302.0,20581.0,8898.0,127.0,1489.0,52.0,100.0,21173.0,66.0,108.0
ostródzki,281500.0,81215.0,45625.0,1041.0,2704.0,17608.0,7277.0,71.0,1084.0,46.0,57.0,15592.0,56.0,89.0
piski,281600.0,45360.0,24505.0,374.0,1925.0,12153.0,2853.0,31.0,605.0,18.0,38.0,6456.0,14.0,38.0
szczycieński,281700.0,56739.0,31709.0,655.0,2064.0,14573.0,4086.0,58.0,913.0,22.0,48.0,9186.0,54.0,50.0
gołdapski,281800.0,20989.0,10632.0,212.0,596.0,4257.0,1955.0,18.0,213.0,9.0,15.0,3330.0,10.0,17.0
węgorzewski,281900.0,18693.0,10209.0,207.0,621.0,3863.0,1542.0,17.0,307.0,18.0,15.0,3583.0,12.0,24.0
Elbląg,286100.0,88963.0,54333.0,1341.0,3164.0,19753.0,8285.0,84.0,1022.0,44.0,82.0,20374.0,78.0,106.0
Olsztyn,286200.0,129389.0,87401.0,2884.0,6494.0,25976.0,13196.0,159.0,1755.0,109.0,152.0,36313.0,134.0,229.0
chodzieski,300100.0,36639.0,23233.0,500.0,1202.0,7652.0,4679.0,29.0,751.0,23.0,23.0,8290.0,37.0,47.0
czarnkowsko-trzcianecki,300200.0,67022.0,40531.0,711.0,2158.0,15526.0,7667.0,42.0,1172.0,43.0,61.0,13007.0,76.0,68.0
gnieźnieński,300300.0,111842.0,70923.0,1669.0,4194.0,28005.0,13141.0,105.0,1576.0,69.0,87.0,21802.0,105.0,170.0
gostyński,300400.0,59097.0,35538.0,631.0,3382.0,16834.0,4998.0,61.0,1086.0,28.0,44.0,8344.0,57.0,73.0
grodziski,300500.0,39446.0,24381.0,455.0,1669.0,10701.0,4476.0,33.0,726.0,25.0,27.0,6176.0,39.0,54.0
jarociński,300600.0,55265.0,34221.0,629.0,1926.0,16621.0,5421.0,47.0,936.0,30.0,49.0,8430.0,56.0,76.0
kaliski,300700.0,65992.0,40462.0,675.0,2575.0,23495.0,4373.0,64.0,1509.0,47.0,49.0,7557.0,34.0,84.0
kępiński,300800.0,43931.0,27833.0,390.0,1548.0,12603.0,5009.0,52.0,709.0,22.0,42.0,7371.0,25.0,62.0
kolski,300900.0,68504.0,41317.0,599.0,2295.0,24767.0,4264.0,58.0,1191.0,45.0,44.0,7944.0,32.0,78.0
koniński,301000.0,102822.0,63377.0,1033.0,3507.0,37896.0,7745.0,87.0,1348.0,42.0,77.0,11456.0,63.0,123.0
kościański,301100.0,61592.0,38523.0,735.0,2257.0,15930.0,6629.0,69.0,1137.0,29.0,60.0,11504.0,76.0,97.0
krotoszyński,301200.0,59765.0,36347.0,594.0,2404.0,17464.0,5342.0,44.0,1304.0,37.0,58.0,8967.0,50.0,83.0
leszczyński,301300.0,44172.0,27688.0,613.0,2015.0,11461.0,5007.0,58.0,839.0,24.0,48.0,7535.0,24.0,64.0
międzychodzki,301400.0,28860.0,17378.0,412.0,899.0,6128.0,3043.0,16.0,574.0,25.0,17.0,6187.0,47.0,30.0
nowotomyski,301500.0,57649.0,37293.0,762.0,2334.0,13247.0,7425.0,56.0,978.0,44.0,54.0,12255.0,66.0,72.0
obornicki,301600.0,44787.0,28493.0,593.0,1604.0,10007.0,5115.0,42.0,916.0,18.0,27.0,10065.0,37.0,69.0
ostrowski,301700.0,126259.0,80790.0,1439.0,5761.0,35064.0,12081.0,138.0,2150.0,82.0,98.0,23712.0,99.0,166.0
ostrzeszowski,301800.0,43597.0,26876.0,408.0,1852.0,12700.0,3947.0,28.0,943.0,39.0,40.0,6814.0,44.0,61.0
pilski,301900.0,102980.0,64739.0,1482.0,4065.0,23251.0,11471.0,108.0,1548.0,71.0,87.0,22421.0,105.0,130.0
pleszewski,302000.0,49030.0,30556.0,469.0,1845.0,15259.0,4099.0,55.0,1051.0,28.0,29.0,7637.0,32.0,52.0
poznański,302100.0,298919.0,218725.0,5143.0,12082.0,57729.0,43352.0,303.0,4455.0,214.0,313.0,94156.0,464.0,514.0
rawicki,302200.0,47097.0,28376.0,595.0,1788.0,12261.0,4488.0,60.0,977.0,36.0,47.0,8034.0,31.0,59.0
słupecki,302300.0,47415.0,28692.0,541.0,1343.0,14925.0,3627.0,38.0,1028.0,24.0,43.0,7041.0,26.0,56.0
szamotulski,302400.0,71492.0,46150.0,993.0,2535.0,16024.0,8868.0,63.0,1156.0,40.0,58.0,16264.0,78.0,71.0
średzki,302500.0,45268.0,29023.0,554.0,2086.0,11719.0,5552.0,47.0,849.0,29.0,34.0,8030.0,56.0,67.0
śremski,302600.0,46979.0,29520.0,654.0,1891.0,11815.0,5362.0,60.0,744.0,29.0,46.0,8806.0,42.0,71.0
turecki,302700.0,66172.0,40922.0,623.0,2352.0,23786.0,4992.0,50.0,939.0,22.0,57.0,8003.0,33.0,65.0
wągrowiecki,302800.0,53451.0,32772.0,708.0,1803.0,13070.0,5797.0,52.0,1156.0,28.0,44.0,9997.0,55.0,62.0
wolsztyński,302900.0,43966.0,28637.0,428.0,2054.0,11316.0,5226.0,34.0,951.0,29.0,54.0,8446.0,39.0,60.0
wrzesiński,303000.0,59780.0,38406.0,794.0,2406.0,16576.0,6042.0,50.0,1011.0,31.0,44.0,11318.0,49.0,85.0
złotowski,303100.0,53441.0,30327.0,632.0,1836.0,11748.0,5374.0,46.0,901.0,44.0,48.0,9597.0,52.0,49.0
Kalisz,306100.0,75674.0,49987.0,1418.0,2910.0,17522.0,6745.0,74.0,947.0,52.0,71.0,20056.0,65.0,127.0
Konin,306200.0,57663.0,37692.0,928.0,2000.0,15627.0,5311.0,49.0,673.0,42.0,44.0,12891.0,44.0,83.0
Leszno,306300.0,47675.0,31949.0,1001.0,2306.0,9004.0,5154.0,28.0,675.0,25.0,61.0,13580.0,68.0,47.0
Poznań,306400.0,411900.0,299390.0,11389.0,17483.0,68806.0,51285.0,397.0,5228.0,282.0,513.0,142110.0,1040.0,857.0
białogardzki,320100.0,35937.0,19589.0,522.0,982.0,7574.0,3211.0,22.0,378.0,17.0,21.0,6809.0,15.0,38.0
choszczeński,320200.0,37495.0,20007.0,406.0,1047.0,8622.0,3063.0,21.0,552.0,13.0,18.0,6216.0,16.0,33.0
drawski,320300.0,44945.0,24936.0,516.0,1382.0,9637.0,4089.0,27.0,593.0,28.0,44.0,8562.0,20.0,38.0
goleniowski,320400.0,64496.0,37744.0,1011.0,2175.0,13986.0,6606.0,58.0,836.0,30.0,60.0,12866.0,45.0,71.0
gryficki,320500.0,53020.0,31913.0,673.0,1463.0,11964.0,5414.0,47.0,685.0,32.0,31.0,11509.0,36.0,59.0
gryfiński,320600.0,63040.0,36362.0,780.0,2197.0,15400.0,5734.0,55.0,748.0,36.0,56.0,11237.0,43.0,76.0
kamieński,320700.0,42147.0,26364.0,648.0,1157.0,9156.0,3916.0,48.0,586.0,24.0,42.0,10728.0,24.0,35.0
kołobrzeski,320800.0,69538.0,45684.0,1256.0,2135.0,15539.0,7239.0,58.0,909.0,28.0,79.0,18318.0,53.0,70.0
koszaliński,320900.0,56805.0,35296.0,918.0,1854.0,12575.0,6004.0,58.0,882.0,38.0,37.0,12820.0,45.0,65.0
myśliborski,321000.0,50528.0,28318.0,576.0,1939.0,11127.0,4159.0,30.0,577.0,21.0,40.0,9753.0,37.0,59.0
policki,321100.0,58878.0,39846.0,1069.0,2434.0,11413.0,6810.0,76.0,701.0,22.0,88.0,17097.0,47.0,89.0
pyrzycki,321200.0,30559.0,17452.0,331.0,961.0,8792.0,2502.0,27.0,500.0,15.0,28.0,4256.0,18.0,22.0
sławieński,321300.0,48089.0,28842.0,861.0,1508.0,11204.0,4073.0,44.0,823.0,20.0,42.0,10206.0,21.0,40.0
stargardzki,321400.0,91677.0,56076.0,1299.0,3441.0,21274.0,8917.0,88.0,1117.0,39.0,106.0,19657.0,51.0,87.0
szczecinecki,321500.0,59472.0,33325.0,818.0,2095.0,13398.0,4556.0,56.0,681.0,32.0,58.0,11543.0,31.0,57.0
świdwiński,321600.0,36391.0,19436.0,461.0,900.0,8107.0,2877.0,16.0,540.0,17.0,30.0,6435.0,20.0,33.0
wałecki,321700.0,40574.0,23167.0,606.0,1251.0,8189.0,3978.0,38.0,508.0,28.0,26.0,8470.0,24.0,49.0
łobeski,321800.0,28082.0,14594.0,308.0,633.0,6126.0,2407.0,25.0,470.0,10.0,18.0,4567.0,12.0,18.0
Koszalin,326100.0,81709.0,53725.0,1625.0,2763.0,15975.0,8671.0,93.0,990.0,37.0,92.0,23262.0,77.0,140.0
Szczecin,326200.0,294599.0,197882.0,6353.0,11903.0,60954.0,29940.0,295.0,3288.0,201.0,372.0,83695.0,380.0,501.0
Świnoujście,326300.0,32985.0,21595.0,625.0,1192.0,6316.0,3091.0,29.0,371.0,22.0,34.0,9852.0,26.0,37.0
